title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Another Love - Tiësto Remix,Tom Odell,0.79,0.764,4.0,-4.685,0.0,0.0737,0.0836,0.0871,0.132,0.473,123.046,audio_features,4Et6tUEO7biKxZEfJXpNj1,spotify:track:4Et6tUEO7biKxZEfJXpNj1,https://api.spotify.com/v1/tracks/4Et6tUEO7biKxZEfJXpNj1,https://api.spotify.com/v1/audio-analysis/4Et6tUEO7biKxZEfJXpNj1,185366.0,4.0
Another Love - Zwette Edit,Tom Odell,0.87,0.554,4.0,-5.828,0.0,0.0635,0.0802,0.0739,0.115,0.462,123.998,audio_features,5snyhxAh55A2wlNRH7VVZJ,spotify:track:5snyhxAh55A2wlNRH7VVZJ,https://api.spotify.com/v1/tracks/5snyhxAh55A2wlNRH7VVZJ,https://api.spotify.com/v1/audio-analysis/5snyhxAh55A2wlNRH7VVZJ,394573.0,4.0
Flying :)),Tom Odell,0.515,0.147,6.0,-15.054,1.0,0.0316,0.965,0.0373,0.112,0.3,133.402,audio_features,6gDrPmfRqagFxMK1DZiRV4,spotify:track:6gDrPmfRqagFxMK1DZiRV4,https://api.spotify.com/v1/tracks/6gDrPmfRqagFxMK1DZiRV4,https://api.spotify.com/v1/audio-analysis/6gDrPmfRqagFxMK1DZiRV4,179158.0,4.0
Best Day Of My Life,Tom Odell,0.687,0.187,7.0,-13.185,0.0,0.0344,0.983,0.00348,0.107,0.105,117.848,audio_features,1MtqOE9Uy6SZjPnBi1X7pQ,spotify:track:1MtqOE9Uy6SZjPnBi1X7pQ,https://api.spotify.com/v1/tracks/1MtqOE9Uy6SZjPnBi1X7pQ,https://api.spotify.com/v1/audio-analysis/1MtqOE9Uy6SZjPnBi1X7pQ,146896.0,4.0
Another Love,Tom Odell,0.443,0.54,4.0,-8.536,0.0,0.04,0.697,1.04e-05,0.102,0.133,119.161,audio_features,5FKnuwsKf7YFpmhA5Wnl0q,spotify:track:5FKnuwsKf7YFpmhA5Wnl0q,https://api.spotify.com/v1/tracks/5FKnuwsKf7YFpmhA5Wnl0q,https://api.spotify.com/v1/audio-analysis/5FKnuwsKf7YFpmhA5Wnl0q,250973.0,4.0
Smiling All The Way Back Home,Tom Odell,0.616,0.273,5.0,-12.47,1.0,0.0307,0.96,0.00105,0.165,0.314,128.04,audio_features,2GMnysJaMa483o0gIOinzB,spotify:track:2GMnysJaMa483o0gIOinzB,https://api.spotify.com/v1/tracks/2GMnysJaMa483o0gIOinzB,https://api.spotify.com/v1/audio-analysis/2GMnysJaMa483o0gIOinzB,182029.0,4.0
Carl Perkins' Cadillac,Drive-By Truckers,0.39,0.868,5.0,-5.702,1.0,0.0429,0.0144,0.00186,0.0714,0.629,132.881,audio_features,6pU82AsqA4MbvXbAseqXTa,spotify:track:6pU82AsqA4MbvXbAseqXTa,https://api.spotify.com/v1/tracks/6pU82AsqA4MbvXbAseqXTa,https://api.spotify.com/v1/audio-analysis/6pU82AsqA4MbvXbAseqXTa,326827.0,4.0
Blue Suede Shoes,Carl Perkins,0.548,0.673,4.0,-7.318,0.0,0.0364,0.448,8.53e-05,0.342,0.965,168.891,audio_features,5d6ZRqgbz26Sg4bk1oifQw,spotify:track:5d6ZRqgbz26Sg4bk1oifQw,https://api.spotify.com/v1/tracks/5d6ZRqgbz26Sg4bk1oifQw,https://api.spotify.com/v1/audio-analysis/5d6ZRqgbz26Sg4bk1oifQw,134446.0,4.0
Honey Don't,Carl Perkins,0.716,0.718,4.0,-7.459,1.0,0.0473,0.555,2.61e-05,0.254,0.927,87.493,audio_features,0T0qUG5LFTSDNSLtTPXvBA,spotify:track:0T0qUG5LFTSDNSLtTPXvBA,https://api.spotify.com/v1/tracks/0T0qUG5LFTSDNSLtTPXvBA,https://api.spotify.com/v1/audio-analysis/0T0qUG5LFTSDNSLtTPXvBA,169421.0,4.0
Matchbox,Carl Perkins,0.524,0.892,9.0,-8.231,1.0,0.0645,0.48,0.00855,0.392,0.923,170.15,audio_features,3qz0e03PIaalwcCGwaJHMs,spotify:track:3qz0e03PIaalwcCGwaJHMs,https://api.spotify.com/v1/tracks/3qz0e03PIaalwcCGwaJHMs,https://api.spotify.com/v1/audio-analysis/3qz0e03PIaalwcCGwaJHMs,127848.0,4.0
